SELECT pop, MIN(afr), MAX(afr), AVG(afr) 
  FROM lohr_and_haag 
  GROUP BY pop;
pop         MIN(afr)    MAX(afr)    AVG(afr)        
----------  ----------  ----------  ----------------
AST         11          15          12.3029045643154
AST5        11          13          11.9684210526316
BEOM        11          13          12.0789473684211
BOL         11          15          13.2352941176471
ISM         11          15          12.2294372294372
ISM12       11          13          12.0            
K10         11          14          12.3571428571429
KMG         11          14          12.289156626506 
KOR         11          15          12.1068376068376
MOS         11          15          12.2597402597403
N45         11          13          12.012987012987 
NFN         11          15          12.6598360655738
SKO         12          15          13.7012987012987
VOL         11          13          12.0729166666667
VRI         12          17          14.4821428571429
WTE         11          15          12.3346153846154
